;grid=31x31:extent=(-44.0000,44,-44,44.0000):X_lbl=plate_x:Y_lbl=plate_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    #,   plate_x,   plate_y,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,Imax,Iave,Ratio
15,0,-43.9997,60,13437260,854978,0,77196,28736263,0,0,0,64.985823,395760,386220,259467,3728,1016,874,37630,867,311173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677.870834,181.1105953,3.742855755
41,-14.6663,-41.0667,60,13417548,843883,0,76959,28607997,0,0,0,65.322743,353100,345240,225072,4493,1091,1048,32554,796,271134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717.8410717,166.0429456,4.323225351
42,-11.733,-41.0667,60,13390205,851670,0,76665,28622831,0,0,0,65.176364,368340,359580,237177,4433,1061,968,34523,859,285298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693.0444333,169.1607183,4.096958444
43,-8.79978,-41.0667,60,13367568,830060,0,76429,28507134,0,0,0,65.115637,370560,361920,241815,4204,1039,1004,34763,845,289913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.1206524,166.3745274,3.859488964
44,-5.86651,-41.0667,60,13418593,867286,0,77000,28531782,0,0,0,65.114009,400740,390900,264720,4314,1067,1012,38196,831,316858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646.2554502,175.4743993,3.682904473
45,-2.93325,-41.0667,60,13449141,862630,0,77373,28650112,0,0,0,65.08028,412620,402120,276421,4236,1087,947,39877,840,330245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.9784447,176.5345224,3.50627422
46,0,-41.0667,60,13426201,856045,0,77104,28688836,0,0,0,65.144793,422340,411540,286761,4061,999,907,41483,874,341981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.1306583,177.0486716,3.372692113
47,2.93329,-41.0667,60,13397667,854573,0,76832,28655108,0,0,0,65.200567,433920,422580,297768,3989,990,902,43009,839,354653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.4612834,178.9855914,3.181604055
48,5.86655,-41.0667,60,13381448,850576,0,76624,28688270,0,0,0,65.17738,447960,435960,311534,3784,960,871,44629,876,369871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541.2742497,180.3061797,3.001972814
49,8.79982,-41.0667,60,13476459,855156,0,77735,28783860,0,0,0,65.223284,460740,448440,324528,3769,975,839,46810,838,385122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.4914608,183.1280743,2.831305156
50,11.7331,-41.0667,60,13445584,848144,0,77330,28827638,0,0,0,65.115853,476040,462780,338139,3726,951,798,48479,838,400466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.4347538,184.3664224,2.665532842
51,14.6664,-41.0667,60,13417520,845365,0,77039,28832832,0,0,0,65.213286,489840,476100,351748,3654,1012,771,50333,777,416202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.793235,186.2739282,2.495213579
70,-20.5328,-38.1331,60,13363835,840837,0,76425,28748165,0,0,0,65.139116,338520,330960,209708,5099,1071,1073,30291,906,254207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.4451998,163.7108219,3.624960114
71,-17.5996,-38.1331,60,13437035,846504,0,77263,28568779,0,0,0,65.158932,352440,344580,222818,4868,1150,1050,32190,895,269109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.6924613,166.7409276,3.61454425
72,-14.6663,-38.1331,60,13438222,853930,0,77245,28881090,0,0,0,65.126009,368460,359820,236198,4817,1100,1041,33977,842,284388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596.7292395,169.8820143,3.512609865
73,-11.733,-38.1331,60,13403259,853738,0,76815,28576729,0,0,0,65.092675,378840,369780,246045,4669,1130,980,35263,862,295509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574.6591779,170.9465654,3.361630441
74,-8.79978,-38.1331,60,13374454,850401,0,76470,28785491,0,0,0,65.063754,389580,380280,256762,4376,1061,1002,37005,836,307562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.3111999,171.9079526,3.212831003
