;grid=25x25:extent=(-36.0000,36,-36,36.0000):X_lbl=plate_x:Y_lbl=plate_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    #,   plate_x,   plate_y,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,Imax,Iave,ratio
33,-12.002,-32.9998,60,13012348,374623,0,72347,28244618,0,0,0,65.053296,26760,26340,55,90,673,200,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.64844037,44.82035177,1.754748396
34,-8.999,-32.9998,60,12969276,373718,0,71907,57702131,0,0,0,65.055215,27000,26580,49,87,675,257,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.52746177,45.37402413,1.906982319
35,-6.001,-32.9998,60,12919680,364771,0,71260,28363222,0,0,0,65.263835,26640,26280,48,65,691,245,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.33100917,45.01149082,1.873544014
36,-2.99801,-32.9998,60,13013895,378809,0,72316,28385149,0,0,0,65.0323,28080,27660,63,92,725,225,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.66923547,46.42459312,1.953043191
37,0,-32.9998,60,12992570,376448,0,72068,27995728,0,0,0,65.064035,27180,26760,66,77,661,245,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.8609036,46.12557737,2.360098449
38,2.99801,-32.9998,60,12916337,393513,0,71223,28432138,0,0,0,65.177484,28440,28020,68,92,694,248,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.67755352,47.20966287,1.878377182
39,6.001,-32.9998,60,12870974,395765,0,70692,27855800,0,0,0,65.119311,27300,26880,53,73,612,219,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.55363914,46.2359506,1.785485927
40,8.999,-32.9998,60,12909494,399287,0,71248,59948891,0,0,0,65.147168,25920,25500,46,76,606,219,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.87056516,44.98241077,1.820057301
41,12.002,-32.9998,60,12993557,397795,0,72239,59941688,0,0,0,65.045003,24900,24480,51,63,559,197,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.49685946,43.81905257,2.156524478
56,-17.998,-30.0003,60,12966223,381926,0,71800,28182471,0,0,0,65.241319,28320,27900,51,108,671,257,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.14601392,43.8221195,1.669157374
